dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
1630220400,1,327.11,9.61,26.73,6.62,7.27,7.14,10.45,0.34
1630224000,1,347.14,22.13,27.42,9.57,9.89,8.12,11.47,0.52
1630227600,1,360.49,26.38,27.76,13.95,13.47,8.74,12.18,0.73
1630231200,1,340.46,4.64,16.97,60.08,11.44,5.84,8.68,0.5
1630234800,1,330.45,1.93,10.11,75.82,7.99,5.38,8.6,0.42
1630238400,2,320.44,1.3,7.37,81.54,6.38,4.82,8.09,0.49
1630242000,2,313.76,1.17,5.66,87.26,5.31,3.9,6.53,0.53
1630245600,2,310.42,1.09,5.91,87.98,5.36,3.05,5.01,0.59
1630249200,2,310.42,1.08,6.68,85.83,5.36,2.3,3.88,0.7
1630252800,2,307.08,1.1,7.88,82.25,5.13,1.93,3.51,0.82
1630256400,1,303.75,1.01,9.17,77.96,5.07,2.05,3.92,0.94
1630260000,1,307.08,0.5,9.43,73.67,4.89,2.33,4.74,0.95
1630263600,1,310.42,0.04,9.17,70.81,4.89,2.41,5.2,0.85
1630267200,1,320.44,0.0,8.57,70.1,4.89,2.3,4.94,0.75
1630270800,1,327.11,0.0,8.31,69.38,4.89,2.27,4.88,0.69
1630274400,1,323.77,0.0,8.14,67.95,4.77,2.36,5.18,0.64
1630278000,1,317.1,0.0,7.28,65.8,4.47,2.49,5.74,0.61
1630281600,1,313.76,0.0,6.77,62.94,5.01,2.66,6.34,0.58
1630285200,1,313.76,0.0,6.51,61.51,5.42,2.84,6.93,0.55
1630288800,1,313.76,0.0,6.34,60.08,5.6,2.98,7.54,0.54
1630292400,1,313.76,0.0,6.26,59.37,5.84,3.14,8.2,0.53
1630296000,1,310.42,0.0,6.43,57.94,6.08,3.3,8.76,0.52
1630299600,1,310.42,0.0,7.2,57.22,6.56,3.52,9.07,0.5
1630303200,1,313.76,0.0,10.28,53.64,7.39,3.86,8.94,0.52
1630306800,1,317.1,0.11,14.74,49.35,8.11,4.14,8.45,0.57
1630310400,1,313.76,0.4,15.42,48.64,8.11,4.17,7.75,0.65
1630314000,1,310.42,0.49,13.54,50.78,7.57,3.93,7.02,0.71
1630317600,1,300.41,0.23,10.11,58.65,6.02,3.06,5.18,0.55
1630321200,1,297.07,0.3,8.82,62.23,5.72,2.58,4.16,0.48
1630324800,1,297.07,0.36,8.4,63.66,5.54,2.43,4.02,0.52
1630328400,1,297.07,0.57,8.23,64.37,5.6,2.39,4.3,0.58
1630332000,1,293.73,0.71,8.4,65.8,5.78,2.43,4.75,0.64
1630335600,1,293.73,0.64,8.82,65.8,5.66,2.49,5.31,0.71
1630339200,1,293.73,0.5,10.11,65.09,5.6,2.61,5.89,0.76
1630342800,1,293.73,0.27,11.65,63.66,5.72,2.71,6.32,0.81
1630346400,1,293.73,0.07,11.82,63.66,5.78,2.59,5.9,0.8
1630350000,1,293.73,0.0,10.8,66.52,5.78,2.23,4.95,0.74
1630353600,1,287.06,0.0,9.85,69.38,5.72,1.82,4.19,0.7
1630357200,1,273.71,0.0,9.51,67.23,5.72,1.57,3.92,0.71
1630360800,1,267.03,0.0,9.6,60.08,5.84,1.6,4.14,0.72
1630364400,1,263.69,0.0,9.17,55.08,5.84,1.82,4.9,0.71
1630368000,1,260.35,0.0,8.31,52.93,5.78,2.05,5.8,0.67
1630371600,1,257.02,0.0,7.54,53.64,5.96,2.24,6.36,0.6
1630375200,1,253.68,0.0,7.03,55.79,6.02,2.37,6.9,0.56
1630378800,1,257.02,0.0,6.77,56.51,6.2,2.58,7.5,0.52
1630382400,1,263.69,0.0,6.94,55.79,6.44,2.87,8.22,0.48
1630386000,1,270.37,0.0,7.8,52.21,7.09,3.23,8.9,0.46
1630389600,1,280.38,0.02,11.31,46.49,8.23,3.66,9.43,0.48
1630393200,1,300.41,0.58,16.11,41.84,9.18,4.05,9.82,0.54
1630396800,1,317.1,1.63,16.62,43.99,9.18,4.07,9.46,0.61
1630400400,1,327.11,1.9,14.4,50.07,8.7,3.75,8.45,0.7
1630404000,1,323.77,1.3,11.14,57.94,7.27,3.25,6.27,0.61
1630407600,1,320.44,0.86,9.08,64.37,6.5,2.63,4.18,0.53
1630411200,1,317.1,0.59,8.31,68.67,5.78,2.35,3.39,0.55
1630414800,1,317.1,0.62,7.54,73.67,5.31,2.12,3.12,0.61
1630418400,1,320.44,0.59,7.45,77.96,5.31,1.86,2.95,0.67
1630422000,2,323.77,0.53,7.45,80.82,5.07,1.74,3.2,0.76
1630425600,2,330.45,0.69,9.0,80.11,5.42,1.84,4.07,0.9
1630429200,1,340.46,0.83,11.31,77.96,6.08,2.03,4.85,1.0
1630432800,1,353.81,0.46,12.51,75.1,6.32,2.04,4.85,0.97
1630436400,1,370.5,0.03,12.34,71.53,6.44,1.94,4.54,0.89
1630440000,1,383.85,0.0,11.48,68.67,6.56,1.88,4.33,0.81
1630443600,1,400.54,0.0,11.14,65.8,6.62,1.91,4.47,0.76
1630447200,1,410.56,0.0,11.14,64.37,6.62,2.0,4.87,0.71
1630450800,1,393.87,0.0,10.71,62.23,6.74,2.16,5.5,0.66
1630454400,1,360.49,0.0,9.94,58.65,7.03,2.5,6.39,0.65
1630458000,1,323.77,0.0,10.11,54.36,7.87,3.03,7.09,0.6
1630461600,1,297.07,0.0,10.63,50.78,8.7,3.62,7.62,0.52
1630465200,1,280.38,0.0,10.63,48.64,9.18,4.06,8.31,0.46
1630468800,1,273.71,0.0,10.54,48.64,9.3,4.36,9.01,0.44
1630472400,1,267.03,0.0,11.14,51.5,9.66,4.75,9.49,0.48
1630476000,1,263.69,0.01,15.42,52.93,10.61,5.42,10.38,0.59
1630479600,1,263.69,0.64,20.91,51.5,11.21,5.85,11.59,0.74
1630483200,1,263.69,1.9,20.91,53.64,11.21,5.54,12.13,0.9
1630486800,1,263.69,2.24,17.31,59.37,10.25,4.61,11.23,0.99
1630490400,1,250.34,1.73,12.51,69.38,8.11,3.11,7.9,0.83
1630494000,1,243.66,1.52,10.88,76.53,7.75,2.25,5.64,0.78
1630497600,2,240.33,1.43,10.11,82.97,7.45,1.79,4.39,0.78
1630501200,2,236.99,1.38,9.51,88.69,7.27,1.55,3.57,0.79
1630504800,2,236.99,1.13,9.94,90.12,7.09,1.39,2.91,0.83
1630508400,2,240.33,0.87,10.11,86.55,6.44,1.3,2.46,0.91
1630512000,1,240.33,0.66,11.82,78.68,6.26,1.46,2.48,1.06
1630515600,1,247.0,0.45,14.74,70.81,6.8,1.7,2.68,1.22
1630519200,1,250.34,0.13,15.77,67.23,7.15,1.84,2.86,1.31
1630522800,1,257.02,0.01,15.94,65.09,7.87,2.04,3.21,1.3
1630526400,1,270.37,0.0,16.11,61.51,8.23,2.49,4.06,1.24
1630530000,1,283.72,0.0,15.94,57.22,8.11,3.56,6.84,1.14
1630533600,1,283.72,0.0,14.91,55.08,7.63,4.92,11.95,0.96
1630537200,1,273.71,0.0,12.0,57.94,6.62,5.42,15.4,0.77
1630540800,1,270.37,0.0,9.43,61.51,6.08,4.97,15.37,0.65
1630544400,1,267.03,0.0,8.05,62.94,5.96,4.31,13.75,0.59
1630548000,1,260.35,0.0,7.63,63.66,6.08,3.71,12.05,0.57
1630551600,1,253.68,0.0,7.54,64.37,6.32,3.24,10.57,0.57
1630555200,1,247.0,0.0,7.71,65.09,6.56,2.9,9.13,0.61
1630558800,1,247.0,0.0,8.57,65.09,6.97,2.73,7.71,0.67
1630562400,1,250.34,0.0,12.68,61.51,7.99,2.8,6.81,0.77
1630566000,1,260.35,0.05,18.51,55.79,8.94,2.99,6.46,0.88
1630569600,1,263.69,0.29,20.56,52.93,9.06,3.03,6.39,0.96
1630573200,1,260.35,0.64,18.34,55.08,8.94,2.88,6.28,0.99
1630576800,1,253.68,0.83,15.08,62.23,8.23,2.54,5.67,0.9
1630580400,1,250.34,0.87,13.37,70.81,7.99,2.13,4.67,0.86
1630584000,1,247.0,0.84,12.51,77.96,7.57,1.79,3.86,0.94
1630587600,2,243.66,1.19,11.14,85.83,7.27,1.56,3.31,0.97
1630591200,2,236.99,1.48,9.68,94.41,6.91,1.47,3.14,1.0
1630594800,2,233.65,1.58,8.57,97.28,6.2,1.45,3.09,1.12
1630598400,2,233.65,1.75,10.45,90.12,6.44,1.62,3.39,1.35
1630602000,1,240.33,1.44,15.42,78.68,7.57,1.98,4.15,1.49
1630605600,1,247.0,0.47,19.54,70.1,8.58,2.29,5.01,1.57
1630609200,1,250.34,0.02,21.08,65.09,9.66,2.59,5.97,1.54
1630612800,1,253.68,0.0,21.94,62.23,10.73,2.89,6.89,1.31
1630616400,1,253.68,0.0,22.62,58.65,11.44,3.19,7.63,0.97
1630620000,1,253.68,0.0,24.68,53.64,11.8,3.57,8.31,0.59
1630623600,1,257.02,0.0,27.08,46.49,11.92,3.99,9.01,0.39
1630627200,1,257.02,0.0,25.71,41.84,11.09,4.31,9.89,0.36
1630630800,1,253.68,0.0,21.59,39.34,9.89,4.68,11.46,0.4
1630634400,1,257.02,0.0,17.48,39.34,9.18,5.2,13.61,0.42
1630638000,1,257.02,0.0,14.91,40.77,8.94,5.64,15.19,0.39
1630641600,1,257.02,0.0,13.54,43.27,9.18,5.87,15.64,0.36
1630645200,1,257.02,0.0,14.57,43.63,10.01,5.86,15.01,0.36
1630648800,1,263.69,0.03,21.08,39.34,11.92,5.93,14.1,0.45
1630652400,1,273.71,1.01,29.82,33.62,13.71,6.04,13.35,0.57
1630656000,1,273.71,3.21,31.53,34.33,14.9,5.82,12.63,0.66
1630659600,1,267.03,3.69,28.1,39.7,15.74,5.41,12.21,0.75
1630663200,1,257.02,2.01,19.36,61.51,12.04,4.92,11.79,1.05
1630666800,1,263.69,1.31,15.59,79.39,11.21,5.76,11.85,1.5
1630670400,2,267.03,1.01,13.88,90.84,10.61,6.44,12.08,1.6
1630674000,2,270.37,0.89,12.0,100.14,9.89,6.77,11.59,1.54
1630677600,2,273.71,0.74,11.31,108.72,9.54,7.22,11.67,1.57
1630681200,2,277.04,0.68,11.48,114.44,9.54,8.18,12.71,1.74
1630684800,2,280.38,0.92,15.42,114.44,10.85,9.52,14.42,1.98
1630688400,2,280.38,1.1,21.08,107.29,12.16,10.33,16.74,2.15
1630692000,2,273.71,0.51,22.96,98.71,11.68,9.39,17.61,1.9
1630695600,2,267.03,0.02,22.62,88.69,11.33,7.54,16.14,1.31
1630699200,2,267.03,0.0,21.76,80.11,11.68,6.45,14.16,0.78
1630702800,1,267.03,0.0,22.28,72.96,12.04,6.31,13.32,0.48
1630706400,1,267.03,0.0,21.94,66.52,11.21,6.22,12.63,0.38
1630710000,1,253.68,0.0,18.85,63.66,9.66,5.25,10.85,0.34
1630713600,1,240.33,0.0,14.4,62.94,7.99,3.98,8.83,0.35
1630717200,1,233.65,0.0,11.31,62.23,6.8,3.22,7.65,0.36
1630720800,1,233.65,0.0,10.11,60.8,6.62,2.94,7.1,0.36
1630724400,1,233.65,0.0,9.68,59.37,6.62,2.84,6.92,0.37
1630728000,1,236.99,0.0,9.68,56.51,6.86,2.84,6.91,0.39
1630731600,1,240.33,0.0,10.71,54.36,7.51,2.97,7.24,0.44
1630735200,1,247.0,0.0,14.91,50.07,8.82,3.33,7.96,0.54
1630738800,1,253.68,0.1,21.08,45.78,9.89,3.77,8.74,0.64
1630742400,1,257.02,0.39,23.99,45.06,10.73,4.07,8.81,0.7
1630746000,1,257.02,0.5,22.62,49.35,11.33,4.21,8.84,0.74
1630749600,1,250.34,0.52,17.14,60.08,9.54,3.97,8.51,0.85
1630753200,1,247.0,0.68,14.22,67.23,8.94,3.8,8.93,1.0
1630756800,1,243.66,0.74,12.34,72.96,8.11,3.67,9.35,1.19
1630760400,2,243.66,0.71,10.45,82.25,6.97,4.28,10.87,1.54
1630764000,2,243.66,0.62,10.2,87.98,6.91,4.97,12.59,1.77
1630767600,2,243.66,0.5,9.85,94.41,6.68,5.48,13.11,1.9
1630771200,2,243.66,0.61,11.31,98.71,7.15,5.61,12.96,1.88
1630774800,2,247.0,0.63,14.4,95.84,7.87,5.37,12.69,1.65
1630778400,2,247.0,0.26,16.11,92.98,8.11,5.15,12.41,1.35
1630782000,2,250.34,0.01,16.79,88.69,8.7,5.02,12.52,1.06
1630785600,2,250.34,0.0,15.94,85.83,8.82,4.89,12.48,0.85
1630789200,2,253.68,0.0,15.42,80.82,8.82,4.69,12.03,0.73
1630792800,1,253.68,0.0,15.77,73.67,8.23,4.41,11.19,0.62
1630796400,1,253.68,0.0,15.59,68.67,7.63,4.13,10.14,0.5
1630800000,1,250.34,0.0,14.05,65.8,7.27,3.85,9.21,0.46
1630803600,1,247.0,0.0,12.85,63.66,7.15,3.77,8.81,0.44
1630807200,1,247.0,0.0,12.17,60.8,7.09,3.79,8.81,0.43
1630810800,1,243.66,0.0,11.65,57.22,7.15,3.86,9.09,0.41
1630814400,1,243.66,0.0,12.0,52.21,7.39,3.99,9.56,0.4
1630818000,1,247.0,0.0,13.71,46.49,7.87,4.24,10.01,0.4
1630821600,1,257.02,0.03,20.39,37.91,9.18,4.8,10.8,0.47
1630825200,1,270.37,1.34,29.82,28.61,10.85,5.57,12.08,0.59
1630828800,1,277.04,4.64,31.87,26.82,12.52,6.06,13.51,0.74
1630832400,1,277.04,5.25,29.82,30.4,14.31,6.33,14.65,1.12
1630836000,1,267.03,2.65,20.91,54.36,12.99,9.8,17.46,2.28
1630839600,2,267.03,2.24,16.62,73.67,11.92,13.35,20.34,2.79
1630843200,2,267.03,2.18,14.91,84.4,11.56,13.67,20.46,3.23
1630846800,2,273.71,1.44,11.31,110.15,9.66,15.36,21.05,3.45
1630850400,3,277.04,1.01,9.25,130.18,8.94,17.53,22.47,3.17
1630854000,3,280.38,0.84,9.08,140.19,9.42,19.89,24.85,2.82
1630857600,3,287.06,1.05,14.22,138.76,12.4,22.77,28.06,2.53
1630861200,3,293.73,1.08,23.31,127.32,15.26,24.62,30.14,2.31
1630864800,3,293.73,0.37,27.08,113.01,14.9,22.56,27.86,2.12
1630868400,2,290.39,0.01,27.42,98.71,14.19,18.46,23.57,1.96
1630872000,2,283.72,0.0,26.39,87.98,12.64,15.83,21.21,1.58
1630875600,2,277.04,0.0,24.33,82.97,10.73,15.0,20.69,1.09
1630879200,2,277.04,0.0,29.47,61.51,7.99,15.36,21.14,0.5
1630882800,2,277.04,0.01,32.9,37.91,5.48,15.99,21.88,0.24
1630886400,2,273.71,0.11,32.9,23.25,5.48,16.44,22.57,0.24
1630890000,2,277.04,0.45,32.56,12.16,6.2,17.03,23.34,0.26
1630893600,2,280.38,1.93,31.19,3.84,6.62,17.81,24.19,0.25
1630897200,2,287.06,5.7,28.1,0.64,7.09,18.55,25.06,0.25
1630900800,2,297.07,10.84,25.71,0.13,7.63,19.28,25.87,0.26
1630904400,3,307.08,16.54,25.71,0.05,8.23,20.06,26.55,0.3
1630908000,3,340.46,30.4,29.82,0.03,11.44,21.85,28.08,0.54
1630911600,3,377.18,47.83,36.67,1.27,14.66,23.56,30.12,0.71
1630915200,4,423.91,76.89,38.39,2.91,17.17,25.8,32.79,0.82
1630918800,4,453.95,92.09,42.84,3.8,20.5,27.48,34.76,0.98
1630922400,3,347.14,18.11,53.47,45.42,31.47,22.5,29.46,1.71
1630926000,3,333.79,11.62,46.61,71.53,34.33,23.95,30.7,2.31
1630929600,3,330.45,9.95,44.55,87.26,35.29,24.41,31.25,2.82
1630933200,3,310.42,3.44,27.08,125.89,21.22,23.58,28.24,3.9
1630936800,3,297.07,1.54,17.82,140.19,14.19,21.4,24.72,3.67
1630940400,3,290.39,1.03,14.74,143.05,11.56,20.33,23.25,3.52
1630944000,3,337.12,6.99,56.89,75.1,15.5,22.85,25.87,3.48
1630947600,4,420.57,32.63,102.82,18.06,26.7,27.92,31.35,4.88
1630951200,4,500.68,67.06,120.64,3.04,40.53,32.64,36.46,6.59
1630954800,4,560.76,91.2,126.12,0.05,52.93,36.77,40.83,7.54
1630958400,4,567.44,98.35,111.04,0.0,51.98,39.2,43.31,6.65
1630962000,4,534.06,89.41,83.63,0.0,35.29,38.95,42.72,3.74
1630965600,4,413.9,43.36,57.58,0.0,14.07,32.31,35.23,1.05
1630969200,4,343.8,24.59,39.41,0.0,7.27,29.12,31.52,0.55
1630972800,4,303.75,14.19,29.47,0.04,5.42,27.58,29.62,0.47
1630976400,4,280.38,7.94,24.33,0.41,5.01,26.06,27.89,0.44
1630980000,3,270.37,3.55,23.31,2.28,5.01,24.95,26.77,0.4
1630983600,3,270.37,0.99,22.96,7.42,5.25,24.89,26.91,0.4
1630987200,4,280.38,0.38,23.31,12.88,5.6,26.91,29.32,0.44
1630990800,4,297.07,0.48,27.08,13.23,6.32,30.21,33.08,0.49
1630994400,4,337.12,6.2,40.1,2.95,9.18,34.42,37.85,0.77
1630998000,4,383.85,25.48,43.53,3.4,11.44,36.98,40.86,1.03
1631001600,4,403.88,42.92,39.76,7.78,13.11,36.31,40.23,1.49
1631005200,4,393.87,38.89,38.04,15.2,14.07,33.07,36.76,2.19
1631008800,3,303.75,2.85,17.65,118.73,10.73,23.16,25.47,2.85
1631012400,3,290.39,1.37,9.68,143.05,8.7,21.8,23.85,2.79
1631016000,3,280.38,0.95,7.2,153.07,7.51,21.15,23.1,2.72
1631019600,3,270.37,0.73,5.57,150.2,5.78,17.53,19.04,2.57
1631023200,3,263.69,0.69,5.31,145.91,5.25,14.53,15.74,2.31
1631026800,3,260.35,0.67,5.66,143.05,4.89,12.7,13.85,2.09
1631030400,3,267.03,1.31,12.68,133.04,7.45,12.45,13.74,2.06
1631034000,2,277.04,1.75,23.99,117.3,10.01,13.59,15.12,2.15
1631037600,2,290.39,0.78,33.24,110.15,11.8,17.84,19.71,2.47
1631041200,4,317.1,0.02,35.64,120.16,13.59,26.84,29.3,2.95
1631044800,4,333.79,0.0,31.87,133.04,13.23,35.92,39.19,3.42
1631048400,4,333.79,0.0,28.45,134.47,11.8,40.36,44.11,3.48
1631052000,4,337.12,0.0,25.36,131.61,10.13,46.74,50.73,3.1
1631055600,4,327.11,0.0,20.91,123.02,8.11,45.2,49.08,2.95
1631059200,4,317.1,0.0,16.79,113.01,6.91,37.68,41.25,2.79
1631062800,4,310.42,0.0,13.88,104.43,6.26,33.29,36.47,2.22
1631066400,4,307.08,0.0,11.65,98.71,5.9,30.74,33.59,2.09
1631070000,4,303.75,0.0,10.37,92.98,5.78,28.34,31.01,2.15
1631073600,4,303.75,0.0,10.03,88.69,6.08,25.63,28.2,2.22
1631077200,3,300.41,0.0,11.14,85.12,6.56,23.04,25.56,2.01
1631080800,3,303.75,0.0,16.79,80.11,7.75,21.78,24.31,1.84
1631084400,3,310.42,0.78,24.33,72.96,8.7,21.41,24.03,1.9
1631088000,3,310.42,3.16,26.05,68.67,9.66,21.26,24.05,2.25
1631091600,3,300.41,4.36,22.28,73.67,10.37,20.82,23.77,2.53
1631095200,2,277.04,2.79,14.4,94.41,9.06,19.09,21.86,2.57
1631098800,2,263.69,2.01,10.71,110.15,7.99,18.18,20.71,2.57
1631102400,3,253.68,1.34,8.14,127.32,6.8,17.88,20.1,2.57
1631106000,3,240.33,0.75,5.36,140.19,4.71,15.02,16.52,2.19
1631109600,3,233.65,0.62,4.93,145.91,4.35,14.1,15.33,2.09
1631113200,3,236.99,0.58,5.48,148.77,4.47,15.13,16.39,2.28
1631116800,3,250.34,0.85,12.34,143.05,7.63,17.43,18.91,2.66
1631120400,3,270.37,0.67,23.99,127.32,10.73,21.09,23.18,3.48
1631124000,4,290.39,0.11,31.87,110.15,11.92,25.23,28.25,4.88
1631127600,4,317.1,0.0,39.07,94.41,12.88,29.77,33.75,5.89
1631131200,4,333.79,0.0,44.55,78.68,12.76,31.86,36.22,5.26
1631134800,4,333.79,0.0,44.55,67.95,11.56,31.56,35.74,4.02
1631138400,4,317.1,0.0,40.1,61.51,9.54,29.63,32.9,3.01
1631142000,4,297.07,0.0,31.19,60.08,7.57,28.02,30.28,1.84
1631145600,4,280.38,0.0,21.94,64.37,6.38,27.37,28.87,1.03
1631149200,4,263.69,0.0,16.11,61.51,5.72,26.46,27.46,0.57
1631152800,3,257.02,0.0,16.28,51.5,5.6,23.64,24.41,0.37
1631156400,2,257.02,0.0,16.11,45.42,5.36,18.94,19.6,0.37
1631160000,2,257.02,0.0,14.91,43.63,5.42,14.48,15.06,0.38
1631163600,2,257.02,0.0,14.74,40.77,5.84,11.84,12.39,0.36
1631167200,2,260.35,0.04,19.88,32.19,6.8,11.99,12.65,0.38
1631170800,2,267.03,1.06,27.08,21.82,7.87,13.28,14.21,0.53
1631174400,2,270.37,4.58,27.42,21.46,8.82,13.06,14.25,0.55
1631178000,2,267.03,6.31,24.33,31.47,9.42,11.94,13.07,0.42
1631181600,1,260.35,2.74,14.4,56.51,5.9,9.07,9.76,0.71
1631185200,1,260.35,1.87,10.97,58.65,4.77,7.98,8.52,0.69
1631188800,1,257.02,1.38,9.77,60.08,4.11,6.16,6.84,0.46
1631192400,1,250.34,0.99,7.2,61.51,3.1,4.18,4.88,0.39
1631196000,1,250.34,0.92,5.74,63.66,2.8,4.94,5.66,0.44
1631199600,1,250.34,0.87,5.48,70.1,2.74,5.75,6.57,0.42
1631203200,1,250.34,0.78,6.77,73.67,3.04,5.65,6.62,0.42
1631206800,1,250.34,0.53,9.6,72.24,3.64,5.93,7.33,0.47
1631210400,1,250.34,0.14,11.82,70.1,4.11,6.1,7.9,0.47
1631214000,1,253.68,0.0,14.05,66.52,4.89,6.55,8.77,0.48
1631217600,1,253.68,0.0,15.77,61.51,5.36,7.3,9.92,0.44
1631221200,1,253.68,0.0,16.62,55.79,5.54,7.91,10.62,0.4
1631224800,1,250.34,0.0,17.48,48.64,5.48,8.42,11.03,0.37
1631228400,1,247.0,0.0,17.14,43.27,5.07,8.71,11.16,0.31
1631232000,1,240.33,0.0,15.94,39.34,4.95,8.74,10.97,0.28
1631235600,1,236.99,0.0,14.57,37.19,4.89,8.56,10.63,0.28
1631239200,1,236.99,0.0,14.74,35.05,5.25,8.4,10.31,0.26
1631242800,1,240.33,0.01,17.82,31.83,6.38,8.5,10.24,0.22
1631246400,1,247.0,0.0,19.02,33.26,6.91,8.8,10.38,0.18
1631250000,1,257.02,0.0,17.82,37.19,6.8,9.57,11.23,0.19
1631253600,2,270.37,0.01,19.88,37.91,7.21,10.65,12.57,0.27
1631257200,2,277.04,0.35,23.31,36.12,7.87,11.64,13.85,0.29
1631260800,2,277.04,1.36,21.94,40.41,7.99,12.41,15.02,0.27
1631264400,2,273.71,1.82,17.99,49.35,7.75,12.23,14.87,0.2
1631268000,1,263.69,1.4,13.02,61.51,5.96,9.4,10.98,0.11
1631271600,1,257.02,1.33,11.82,62.23,5.36,7.54,8.45,0.09
1631275200,1,257.02,1.31,11.48,59.37,5.25,6.49,7.16,0.13
1631278800,1,270.37,1.33,10.63,57.22,5.31,5.16,5.74,0.19
1631282400,1,270.37,1.09,9.25,69.38,5.25,3.96,4.55,0.24
1631286000,2,257.02,0.8,7.97,82.25,4.71,3.52,4.32,0.28
1631289600,1,263.69,0.76,8.74,77.25,4.41,3.63,4.58,0.36
1631293200,1,280.38,0.66,11.31,66.52,4.41,3.75,4.68,0.52
1631296800,1,297.07,0.23,13.37,55.08,4.23,3.87,4.7,0.7
1631300400,1,307.08,0.0,13.71,47.21,4.05,3.72,4.42,0.87
1631304000,1,303.75,0.0,12.51,47.92,3.79,3.18,3.79,0.97
1631307600,1,293.73,0.0,11.31,52.93,3.67,2.55,3.27,0.93
1631311200,1,290.39,0.0,10.71,50.78,3.61,2.37,3.31,0.76
1631314800,1,290.39,0.0,9.68,47.21,3.43,2.3,3.44,0.59
1631318400,1,290.39,0.0,7.71,46.49,2.92,2.26,3.61,0.5
1631322000,1,290.39,0.0,6.0,47.21,2.59,2.21,3.73,0.5
1631325600,1,293.73,0.0,5.06,47.21,2.53,2.23,3.92,0.53
1631329200,1,297.07,0.0,4.76,47.21,2.65,2.31,4.25,0.57
1631332800,1,297.07,0.0,4.8,47.21,2.86,2.49,4.79,0.6
1631336400,1,297.07,0.0,5.27,45.78,3.07,2.62,5.08,0.63
1631340000,1,300.41,0.01,7.63,42.56,3.49,2.69,5.09,0.67
1631343600,1,303.75,0.11,11.14,38.27,3.87,2.85,5.21,0.73
1631347200,1,307.08,0.43,12.34,36.12,4.11,3.01,5.41,0.82
1631350800,1,307.08,0.56,11.14,37.91,3.99,3.16,5.56,0.94
1631354400,1,300.41,0.43,8.23,43.99,3.25,2.76,4.56,0.97
1631358000,1,300.41,0.48,6.77,48.64,3.04,2.48,3.82,0.93
1631361600,1,303.75,0.52,6.17,51.5,2.86,2.5,3.58,0.93
1631365200,1,297.07,0.47,5.31,61.51,2.47,2.24,3.0,0.8
1631368800,1,293.73,0.39,5.14,68.67,2.35,1.94,2.48,0.72
1631372400,1,293.73,0.35,5.48,67.95,2.38,1.83,2.28,0.76
1631376000,1,297.07,0.35,7.71,62.23,2.86,2.02,2.49,0.88
1631379600,1,303.75,0.26,11.65,55.08,3.82,2.33,3.04,1.06
1631383200,1,303.75,0.06,13.71,51.5,4.35,2.09,3.14,1.25
1631386800,1,303.75,0.0,14.4,56.51,4.77,1.63,2.61,1.31
1631390400,1,303.75,0.0,15.77,60.8,5.13,1.56,2.47,1.43
1631394000,1,303.75,0.0,16.11,60.8,5.19,1.6,2.51,1.55
1631397600,1,303.75,0.0,15.77,57.22,4.71,1.61,2.54,1.52
1631401200,1,303.75,0.0,14.22,52.21,4.17,1.61,2.59,1.22
1631404800,1,307.08,0.0,13.02,47.21,3.99,1.76,2.87,0.84
1631408400,1,310.42,0.0,12.0,43.27,3.87,2.01,3.35,0.55
1631412000,1,313.76,0.0,11.48,38.62,3.82,2.29,3.85,0.42
1631415600,1,313.76,0.01,11.65,33.62,3.87,2.58,4.34,0.38
1631419200,1,313.76,0.02,12.34,27.9,4.11,2.89,4.79,0.39
1631422800,1,317.1,0.07,14.22,21.64,4.53,3.2,5.15,0.41
1631426400,1,320.44,0.63,20.74,11.62,5.72,3.78,5.72,0.52
1631430000,1,330.45,5.25,27.08,2.73,7.39,4.55,6.51,0.67
1631433600,1,337.12,13.41,27.08,2.33,9.42,5.16,7.18,0.8
1631437200,1,337.12,16.54,25.71,4.34,12.4,5.48,7.59,1.06
1631440800,1,323.77,3.38,19.54,25.39,10.37,4.7,6.81,1.33
1631444400,1,320.44,2.29,15.94,35.76,9.54,4.14,5.88,1.09
1631448000,1,320.44,2.29,15.94,38.62,10.25,4.04,5.58,0.97
1631451600,1,317.1,1.93,15.77,44.35,10.13,3.7,5.01,0.84
1631455200,1,310.42,1.4,16.45,50.78,10.37,3.37,4.46,0.73
1631458800,1,313.76,1.03,19.71,51.5,12.16,3.55,4.57,0.7
1631462400,2,337.12,3.13,42.5,23.96,14.54,4.93,6.04,1.05
1631466000,2,387.19,21.91,61.69,1.99,16.93,7.73,9.03,1.58
1631469600,2,433.92,48.73,63.06,0.14,19.07,10.86,12.38,1.68
1631473200,2,473.98,67.95,61.01,0.0,20.03,13.42,15.12,1.49
1631476800,2,460.63,63.48,55.52,0.0,16.45,13.39,15.15,1.03
1631480400,2,417.23,43.36,52.09,0.0,12.88,11.57,13.39,0.82
1631484000,2,363.83,15.87,50.04,0.05,9.3,8.73,10.54,0.75
1631487600,2,333.79,4.3,41.81,1.22,6.26,6.72,8.49,0.64
1631491200,1,317.1,0.75,30.85,6.8,5.48,6.06,7.94,0.59
1631494800,1,310.42,0.11,22.28,16.45,6.08,6.64,8.8,0.57
1631498400,1,303.75,0.05,18.85,20.74,6.56,7.09,9.28,0.4
1631502000,1,300.41,0.03,16.45,24.68,7.51,6.69,8.74,0.28
